date_time,lon360,latitude,depth_km,magnitude,distance_to_surface_km,distance_to_center_km
2014-01-10T19:43:30.620Z,146.993,20.7855,-1.22,4.3,6.546211675643948,76.90753881530765
2016-03-04T14:31:23.930Z,146.0895,16.9775,-2.09,4.5,94.46226565933347,165.59067321777465
2018-06-15T20:18:07.470Z,146.5153,13.6499,-2.25,4.7,10.568116192741485,82.66223052417001
2014-10-06T14:04:05.570Z,147.2265,15.4121,-4.0,5.7,10.929470408134636,82.69296241867083
2015-10-22T17:47:42.110Z,147.1916,17.9213,-4.23,5.3,20.572372671813866,91.64555475366201
2013-05-17T20:03:36.000Z,145.773,13.295,-4.5,4.4,12.619816577911497,84.61629695129406
2023-09-15T04:26:47.195Z,145.8433,15.4943,-4.874,4.7,94.69668766720554,166.55058318157936
2015-01-31T12:29:30.620Z,147.1244,15.241,-5.0,5.5,11.304491105651632,83.12532380371073
2013-08-26T05:32:22.680Z,146.902,20.1436,-6.23,4.7,4.535264225769248,75.06079209716818
2015-02-27T17:22:52.380Z,145.9683,17.0048,-6.42,4.7,104.64129339196694,175.76616824072184
2013-12-22T19:39:40.270Z,146.6282,20.8193,-6.72,4.7,4.268083672393909,74.57539745574962
2014-10-06T15:02:38.640Z,147.4236,15.5145,-6.92,4.2,4.625568012390206,76.33708708312996
2014-01-23T04:59:49.820Z,146.1336,13.3556,-7.0,5.8,6.5206340740967015,78.56664372509769
2020-02-01T22:21:05.584Z,144.3659,14.5851,-7.06,4.4,310.0670466682099,381.99706838024605
2008-09-23T20:45:33.570Z,147.315,18.803,-7.7,4.3,5.532747756958158,76.44633760070815
2024-11-11T10:16:53.821Z,145.7964,20.1687,-8.0,5.5,44.01171867016635,114.39983876879916
2023-08-14T13:51:53.761Z,147.5297,13.347,-8.0,6.1,77.04561416431106,106.1777212340763
2022-07-10T22:19:58.098Z,147.0352,18.8235,-8.0,5.7,11.655163496093927,82.54649115966815
2018-10-26T09:05:39.340Z,147.8812,17.4064,-8.0,5.9,8.99601763502516,74.09113902539836
2024-03-16T13:46:31.991Z,145.3321,20.2311,-8.033,4.7,81.12832122714268,151.40971708917272
2023-03-09T09:46:37.105Z,146.1474,16.8006,-8.314,4.5,80.83179910388188,151.99929991186528
2023-09-15T06:22:28.475Z,145.6122,15.5257,-8.736,4.6,122.09486254479917,193.95993246191344
2014-03-28T20:52:23.880Z,144.8247,18.7951,-8.89,4.2,305.94534400703293,376.50056323116183
2023-06-17T18:58:15.129Z,144.3282,14.4764,-8.946,4.3,298.77823153027174,370.6837291103499
2013-12-17T23:38:06.820Z,146.7903,20.7727,-9.0,6.2,0.43144886665351123,70.77278339840706
2009-02-24T05:58:00.370Z,146.303,13.787,-9.0,5.9,9.53291785736111,81.61883601989774
2018-07-07T17:48:08.550Z,147.0902,15.7045,-9.04,4.8,11.689807416686591,83.35298023071246
2013-12-06T17:27:18.720Z,146.8883,20.8027,-9.2,4.6,-0.704736971763479,69.63978639416517
2005-02-25T08:20:43.650Z,145.018,15.874,-9.2,4.6,282.6460327636729,354.4448686523448
2023-11-25T22:53:59.742Z,145.6071,20.2504,-9.206,4.3,54.27340735418652,124.60338261181589
2023-03-14T22:48:14.890Z,144.7947,14.2098,-9.243,3.8,151.20881452233965,223.17125984802325
2015-02-27T19:23:27.130Z,145.7519,16.4565,-9.25,4.7,126.4143248291006,197.76051920410058
2016-06-27T13:46:21.890Z,147.004,14.2385,-9.33,4.3,1.9028022136689735,73.9287259948732
2023-04-29T12:30:33.585Z,144.877,20.241,-9.356,3.9,138.64244241332864,208.78494656371927
2023-09-15T07:32:33.601Z,145.8842,15.6131,-9.44,4.5,88.96872449572852,160.78124546643164
2023-11-26T05:14:44.844Z,145.3308,20.185,-9.449,4.0,82.40770964355382,152.7090090576163
2024-04-02T11:10:03.846Z,144.9538,15.824,-9.466,4.0,296.6477484912074,368.4771676513636
2023-12-16T10:10:06.871Z,145.4771,20.2069,-9.493,4.2,67.01073732433976,137.33313572546282
2013-12-27T06:39:33.270Z,146.922,20.7964,-9.58,4.5,-1.32965864257811,69.0205405053711
2022-10-14T21:14:01.290Z,145.2253,15.8641,-9.591,4.4,221.5397300800754,293.3186303979465
2023-07-20T19:58:24.589Z,146.0008,16.8815,-9.627,4.1,96.10384752502465,167.25259606079123
2013-12-27T05:57:14.480Z,146.6925,20.7891,-9.69,4.5,0.6817076211928814,71.00628138427729
2013-12-23T19:42:29.390Z,146.8512,20.8039,-9.71,4.6,-0.9163403776093375,69.42348214636223
2024-07-25T15:02:35.180Z,143.1028,17.9345,-9.764,4.2,373.8868414256292,434.34500690694006
2013-12-18T00:33:02.670Z,146.7576,20.8015,-9.77,5.0,-0.11503037284846052,70.21413668762213
2023-11-26T08:25:09.414Z,145.141,20.1681,-9.816,4.4,105.0737575112932,175.33737394226247
2023-05-29T07:37:26.483Z,146.4145,16.7545,-9.852,4.2,57.36726507339458,128.54163097839333
2022-10-20T07:10:37.054Z,144.9385,20.4285,-9.883,4.4,113.4066983238204,183.46197577361897
2023-11-24T09:21:43.288Z,145.3089,20.0971,-9.888,4.8,89.57376916354528,159.90689636926425
2013-07-12T09:29:32.860Z,145.893,16.776,-9.9,4.5,108.806263287354,179.9878664672856
